2004,"","","","","","","","","","","","","","","","","",""
1HD1DDV163Y611111,1HD1DDV163Y611111,ERRORFAILEDCHECKDIGIT,2003,HarleyDavidson,ElectraGlideStandard,FLHT,Touring,1450cc,14710,758lb,635in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,85,0
JS1GW71A3Y2111111,JS1GW71A3Y2111111,ERRORFAILEDCHECKDIGIT,2000,Suzuki,Hayabusa,GSX1300R,Sport,1300cc,10799,478lb,585in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
1HD1DML33KY511111,1HD1DML33KY511111,ERRORFAILEDCHECKDIGIT,1989,HarleyDavidson,TourGlideUltraClassic,FLTCUltra,Cruiser,1340cc,12645,741lb,0in,"",5speed,"","","",0,0
JS1GT73AXV2111111,JS1GT73AXV2111111,ERRORFAILEDCHECKDIGIT,1997,Suzuki,RF900R,RF900R,Sport,900cc,9099,447lb,0in,"",5speed,"","","",0,0
011111,"","","","","","","","","","","","","","","","","",""
JKAZXBE14SA011111,JKAZXBE14SA011111,ERRORFAILEDCHECKDIGIT,1995,Kawasaki,GPZ1100,ZX1100E,Sport,1100cc,7999,534lb,0in,"",6speed,"","","",0,0
1HD1BSY112Y011111,1HD1BSY112Y011111,ERRORFAILEDCHECKDIGIT,2002,HarleyDavidson,SoftailDeuce,FXSTD,Cruiser,1450cc,17140,645lb,666in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,85,0
1HFSC18031A511111,1HFSC18031A511111,ERRORFAILEDCHECKDIGIT,2001,Honda,ShadowSpirit,VT1100C,Cruiser,1100cc,7999,556lb,65in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
JS1GT74A722111111,JS1GT74A722111111,ERRORFAILEDCHECKDIGIT,2002,Suzuki,GSXR1000,GSXR1000,SuperSport,1000cc,10399,374lb,0in,NotAvailableonModel,6speed,"","","",0,0
JKAZXBC18NB511111,JKAZXBC18NB511111,PASS,1992,Kawasaki,NinjaZX11,ZX1100C,SuperSport,1100cc,8299,531lb,0in,"",6speed,"","","",0,0
JYARN05E91A011111,JYARN05E91A011111,ERRORFAILEDCHECKDIGIT,2001,Yamaha,YZFR1,YZFR1,SuperSport,998cc,10299,385lb,549in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
JYAVM01E33A011111,JYAVM01E33A011111,ERRORFAILEDCHECKDIGIT,2003,Yamaha,VStar650,XVS650ACACATATC,Cruiser,650cc,5599,474lb,64in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
JS1DK4332Y2111111,JS1DK4332Y2111111,ERRORFAILEDCHECKDIGIT,2000,Suzuki,DRZ400,DRZ400E,OffRoad,400cc,5349,262lb,585in,NotAvailableonModel,5speed,Chain,Single,Chain,0,0
JKBVNCE133A011111,JKBVNCE133A011111,ERRORFAILEDCHECKDIGIT,2003,Kawasaki,Vulcan800Drifter,VN800E,Cruiser,800cc,6999,542lb,636in,NotAvailableonModel,5speed,Chain,Vtwin,Chain,0,0
1HFSC49053A111111,1HFSC49053A111111,PASS,2003,Honda,VTX1800,VTX1800R,Cruiser,1800cc,12999,750lb,675in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
JS1GN7BA632111111,JS1GN7BA632111111,ERRORFAILEDCHECKDIGIT,2003,Suzuki,GSXR600,GSXR600,SuperSport,600cc,7999,359lb,551in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
JS1VS54A742111111,JS1VS54A742111111,ERRORFAILEDCHECKDIGIT,2004,Suzuki,IntruderVolusia,VL800K,Cruiser,800cc,6399,531lb,652in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
4MZAX12J833411111,4MZAX12J833411111,ERRORFAILEDCHECKDIGIT,2003,Buell,FireboltXB9R,XB9R,Sport,984cc,9995,385lb,519in,NotAvailableonModel,5speed,"","","",70,90
1HD1CGP192K111111,1HD1CGP192K111111,ERRORFAILEDCHECKDIGIT,2002,HarleyDavidson,Sportster1200Custom,XL1200C,Cruiser,1200cc,9575,554lb,598in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,79,0
JS1GW71A442111111,JS1GW71A442111111,ERRORFAILEDCHECKDIGIT,2004,Suzuki,Hayabusa,GSX1300R,Sport,1300cc,10849,478lb,585in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
JS1GW71A112111111,JS1GW71A112111111,ERRORFAILEDCHECKDIGIT,2001,Suzuki,Hayabusa,GSX1300R,Sport,1300cc,10849,478lb,585in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
JYARJ04E62A011111,JYARJ04E62A011111,ERRORFAILEDCHECKDIGIT,2002,Yamaha,YZFR6,YZFR6YZFR6C,SuperSport,599cc,7999,365lb,543in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
JKAZX9B122A011111,JKAZX9B122A011111,ERRORFAILEDCHECKDIGIT,2002,Kawasaki,NinjaZX12R,ZX1200B,Sport,1200cc,10999,463lb,571in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
1HD1BJY142Y011111,1HD1BJY142Y011111,ERRORFAILEDCHECKDIGIT,2002,HarleyDavidson,HeritageSoftailClassic,FLSTC,Cruiser,1450cc,17140,696lb,645in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,85,0
JS1VY51A1Y2111111,JS1VY51A1Y2111111,ERRORFAILEDCHECKDIGIT,2000,Suzuki,IntruderLC,VL1500,Cruiser,1500cc,9949,659lb,669in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
1HD4CAM103K411111,1HD4CAM103K411111,ERRORFAILEDCHECKDIGIT,2003,HarleyDavidson,Sportster883,XL883,Cruiser,883cc,6145,486lb,59in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,51,0
JKBVNAL103A011111,JKBVNAL103A011111,ERRORFAILEDCHECKDIGIT,2003,Kawasaki,Vulcan1500NomadFI,VN1500L,Cruiser,1500cc,12999,743lb,656in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
1HD1GPW154K311111,1HD1GPW154K311111,ERRORFAILEDCHECKDIGIT,2004,HarleyDavidson,DynaWideGlideEFI,FXDWGI,Cruiser,1450cc,17180,639lb,656in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,0,0
JKAEXMF114DA11111,JKAEXMF114DA11111,PASS,2004,Kawasaki,Ninja250R,EX250F,Sport,250cc,2999,304lb,551in,NotAvailableonModel,6speed,Chain,Paralleltwin,Chain,181,0
1HD1CGP11XK111111,1HD1CGP11XK111111,ERRORFAILEDCHECKDIGIT,1999,HarleyDavidson,Sportster1200Custom,XL1200C,Cruiser,1200cc,9215,554lb,598in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,79,0
JKAVFEA182B511111,JKAVFEA182B511111,ERRORFAILEDCHECKDIGIT,2002,Kawasaki,Prairie6504X4,KVF650A,ATV,650cc,6999,604lb,0in,NotAvailableonModel,Automatic,"","","",0,0
JH2ME03363M511111,JH2ME03363M511111,ERRORFAILEDCHECKDIGIT,2003,Honda,CR250R,CR250R,OffRoad,250cc,5899,213lb,587in,NotAvailableonModel,5speed,Chain,Single2stroke,Chain,0,0
JH2RC44073M711111,JH2RC44073M711111,ERRORFAILEDCHECKDIGIT,2003,Honda,ShadowSpirit750,VT750DCA,Cruiser,750cc,5999,496lb,648in,NotAvailableonModel,5speed,Chain,Vtwin,Chain,0,0
1HD1CHP1XYK111111,1HD1CHP1XYK111111,ERRORFAILEDCHECKDIGIT,2000,HarleyDavidson,Sportster1200Sport,XL1200S,Cruiser,1200cc,8675,501lb,60in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,79,0
JYAVM01E9YA011111,JYAVM01E9YA011111,ERRORFAILEDCHECKDIGIT,2000,Yamaha,VStar650,XVS650,Cruiser,650cc,5599,474lb,64in,NotAvailableonModel,5speed,Shaft,Vtwin,Shaft,0,0
JH2SC44031M111111,JH2SC44031M111111,ERRORFAILEDCHECKDIGIT,2001,Honda,CBR929RR,CBR9000R,SuperSport,929cc,9999,379lb,0in,"",6speed,"","","",0,0
JYAVP07EX3A011111,JYAVP07EX3A011111,ERRORFAILEDCHECKDIGIT,2003,Yamaha,RoadStarClassic,XV1600ATATC,Cruiser,1670cc,13299,710lb,665in,NotAvailableonModel,5speed,Belt,Vtwin,Belt,0,0
2A40531H411111,"","","","","","","","","","","","","","","","","",""
JH2MC2409MK011111,JH2MC2409MK011111,ERRORFAILEDCHECKDIGIT,1991,Honda,Nighthawk,CB250,Standard,250cc,2198,297lb,0in,"",5speed,"","","",0,0
JS1GN7BA732111111,JS1GN7BA732111111,ERRORFAILEDCHECKDIGIT,2003,Suzuki,GSXR600,GSXR600,SuperSport,600cc,7999,359lb,551in,NotAvailableonModel,6speed,Chain,Inline4,Chain,0,0
JKBVNCB134B511111,JKBVNCB134B511111,ERRORFAILEDCHECKDIGIT,2004,Kawasaki,Vulcan800Classic,VN800B,Cruiser,800cc,6499,516lb,63in,NotAvailableonModel,5speed,Chain,Vtwin,Chain,0,0
